#{"t_start": 1605487278.9837074, "env_id": "PnPBaxter-v0"}
r,l,t
47.0614,75,5089.227101
70.025388,117,5099.139295
16.375874,26,5107.484026
59.379141,95,5115.484655
55.392371,89,5124.684518
45.792729,77,5133.659299
40.057109,65,5142.16742
16.024909,26,5149.94843
84.582518,136,5158.803614
45.316893,73,5168.156212
39.637604,64,5176.847131
54.31007,93,5186.140096
66.414329,108,5195.900711
0.574363,1,5213.857376
48.657093,82,5221.250693
53.591495,85,5230.271893
34.626566,56,5238.768294
60.228372,100,5248.063349
70.798921,114,5257.913043
28.971537,47,5266.637222
39.585317,64,5274.851619
41.71639,68,5283.582873
45.073292,76,5292.48283
33.556932,55,5300.795955
14.504889,23,5308.388712
22.210341,37,5315.01935
41.836122,68,5323.029019
33.551849,54,5331.206212
